Order Date,Sales,Profit,Month
2015-01-31,14236.895,2450.1907,2015-01
2015-02-28,4519.892,862.3084,2015-02
2015-03-31,55691.009,498.7298999999999,2015-03
2015-04-30,28295.345,3488.8352,2015-04
2015-05-31,23648.287,2738.7096,2015-05
2015-06-30,34595.1276,4976.5244,2015-06
2015-07-31,33946.393,-841.4826,2015-07
2015-08-31,27909.4685,5318.105,2015-08
2015-09-30,81777.3508,8328.0994,2015-09
2015-10-31,31453.393,3448.2573,2015-10
2015-11-30,78628.7167,9292.1269,2015-11
2015-12-31,69545.6205,8983.5699,2015-12
2016-01-31,18174.0756,-3281.007,2016-01
2016-02-29,11951.411,2813.8508,2016-02
2016-03-31,38726.252,9732.097800000001,2016-03
2016-04-30,34195.2085,4187.4962,2016-04
2016-05-31,30131.6865,4667.869,2016-05
2016-06-30,24797.292,3335.5572,2016-06
2016-07-31,28765.325,3288.6483,2016-07
2016-08-31,36898.3322,5355.8084,2016-08
2016-09-30,64595.918,8209.162699999999,2016-09
2016-10-31,31404.9235,2817.366,2016-10
2016-11-30,75972.5635,12474.7884,2016-11
2016-12-31,74919.5212,8016.965899999999,2016-12
2017-01-31,18542.490999999998,2824.8233,2017-01
2017-02-28,22978.815000000002,5004.5795,2017-02
2017-03-31,51715.875,3611.968,2017-03
2017-04-30,38750.039,2977.8149,2017-04
2017-05-31,56987.728,8662.1464,2017-05
2017-06-30,40344.534,4750.3781,2017-06
2017-07-31,39261.963,4432.8778999999995,2017-07
2017-08-31,31115.3743,2062.0693,2017-08
2017-09-30,73410.0249,9328.6576,2017-09
2017-10-31,59687.745,16243.1425,2017-10
2017-11-30,79411.9658,4011.4075000000003,2017-11
2017-12-31,96999.043,17885.3093,2017-12
2018-01-31,43971.374,7140.4391,2018-01
2018-02-28,20301.1334,1613.872,2018-02
2018-03-31,58872.3528,14751.8915,2018-03
2018-04-30,36521.5361,933.2900000000001,2018-04
2018-05-31,44261.1102,6342.5828,2018-05
2018-06-30,52981.7257,8223.3357,2018-06
2018-07-31,45264.416,6952.6212,2018-07
2018-08-31,63120.888,9040.9557,2018-08
2018-09-30,87866.652,10991.5556,2018-09
2018-10-31,77776.9232,9275.2755,2018-10
2018-11-30,118447.825,9690.1037,2018-11
2018-12-31,83829.3188,8483.346800000001,2018-12
